#    L    TT             EE             BB             TE          
     2    0.10865E+04    0.51575E-01    0.17686E-05    0.34837E+01
     3    0.10257E+04    0.86074E-01    0.35378E-05    0.43473E+01
     4    0.96485E+03    0.99268E-01    0.58975E-05    0.44834E+01
     5    0.91691E+03    0.90710E-01    0.88485E-05    0.41821E+01
     6    0.88173E+03    0.69325E-01    0.12392E-04    0.36701E+01
     7    0.85727E+03    0.45709E-01    0.16528E-04    0.30913E+01
     8    0.84093E+03    0.27065E-01    0.21259E-04    0.25351E+01
     9    0.83091E+03    0.15773E-01    0.26586E-04    0.20476E+01
    10    0.82584E+03    0.10629E-01    0.32510E-04    0.16555E+01
    11    0.82435E+03    0.89685E-02    0.39033E-04    0.13703E+01
    12    0.82661E+03    0.84746E-02    0.46156E-04    0.11945E+01
    13    0.83084E+03    0.78603E-02    0.53882E-04    0.11092E+01
    14    0.83611E+03    0.69779E-02    0.62212E-04    0.10897E+01
    15    0.84276E+03    0.61330E-02    0.71148E-04    0.11177E+01
    16    0.85124E+03    0.56412E-02    0.80693E-04    0.11772E+01
    17    0.86143E+03    0.56279E-02    0.90848E-04    0.12518E+01
    18    0.87235E+03    0.59465E-02    0.10161E-03    0.13279E+01
    19    0.88484E+03    0.64031E-02    0.11300E-03    0.13976E+01
    20    0.89722E+03    0.68834E-02    0.12499E-03    0.14535E+01
    21    0.90985E+03    0.73721E-02    0.13761E-03    0.14993E+01
    22    0.92302E+03    0.79673E-02    0.15085E-03    0.15396E+01
    23    0.93653E+03    0.87627E-02    0.16471E-03    0.15763E+01
    24    0.95044E+03    0.98056E-02    0.17919E-03    0.16112E+01
    25    0.96471E+03    0.11134E-01    0.19430E-03    0.16469E+01
    26    0.97913E+03    0.12732E-01    0.21004E-03    0.16870E+01
    27    0.99395E+03    0.14548E-01    0.22640E-03    0.17300E+01
    28    0.10090E+04    0.16552E-01    0.24340E-03    0.17745E+01
    29    0.10244E+04    0.18750E-01    0.26103E-03    0.18193E+01
    30    0.10399E+04    0.21156E-01    0.27929E-03    0.18616E+01
    31    0.10556E+04    0.23758E-01    0.29819E-03    0.18985E+01
    32    0.10715E+04    0.26534E-01    0.31772E-03    0.19272E+01
    33    0.10879E+04    0.29485E-01    0.33789E-03    0.19443E+01
    34    0.11044E+04    0.32627E-01    0.35869E-03    0.19482E+01
    35    0.11210E+04    0.35972E-01    0.38013E-03    0.19421E+01
    36    0.11377E+04    0.39535E-01    0.40221E-03    0.19279E+01
    37    0.11545E+04    0.43318E-01    0.42492E-03    0.19016E+01
    38    0.11717E+04    0.47329E-01    0.44827E-03    0.18609E+01
    39    0.11893E+04    0.51584E-01    0.47226E-03    0.18086E+01
    40    0.12070E+04    0.56103E-01    0.49688E-03    0.17483E+01
    41    0.12249E+04    0.60909E-01    0.52214E-03    0.16824E+01
    42    0.12428E+04    0.66004E-01    0.54803E-03    0.16092E+01
    43    0.12608E+04    0.71386E-01    0.57456E-03    0.15261E+01
    44    0.12788E+04    0.77037E-01    0.60173E-03    0.14312E+01
    45    0.12971E+04    0.82951E-01    0.62952E-03    0.13228E+01
    46    0.13157E+04    0.89125E-01    0.65795E-03    0.11979E+01
    47    0.13344E+04    0.95559E-01    0.68701E-03    0.10579E+01
    48    0.13532E+04    0.10226E+00    0.71670E-03    0.90817E+00
    49    0.13721E+04    0.10921E+00    0.74701E-03    0.75356E+00
    50    0.13915E+04    0.11639E+00    0.77796E-03    0.59198E+00
    51    0.14109E+04    0.12377E+00    0.80953E-03    0.41966E+00
    52    0.14308E+04    0.13144E+00    0.84172E-03    0.23139E+00
    53    0.14507E+04    0.13955E+00    0.87454E-03    0.23488E-01
    54    0.14704E+04    0.14808E+00    0.90798E-03   -0.19977E+00
    55    0.14904E+04    0.15701E+00    0.94205E-03   -0.43399E+00
    56    0.15106E+04    0.16620E+00    0.97673E-03   -0.68086E+00
    57    0.15312E+04    0.17554E+00    0.10120E-02   -0.94009E+00
    58    0.15520E+04    0.18504E+00    0.10480E-02   -0.12121E+01
    59    0.15730E+04    0.19475E+00    0.10845E-02   -0.14974E+01
    60    0.15941E+04    0.20471E+00    0.11217E-02   -0.17950E+01
    61    0.16157E+04    0.21502E+00    0.11594E-02   -0.21038E+01
    62    0.16372E+04    0.22567E+00    0.11978E-02   -0.24251E+01
    63    0.16588E+04    0.23661E+00    0.12368E-02   -0.27602E+01
    64    0.16807E+04    0.24786E+00    0.12764E-02   -0.31107E+01
    65    0.17027E+04    0.25938E+00    0.13167E-02   -0.34775E+01
    66    0.17250E+04    0.27110E+00    0.13575E-02   -0.38591E+01
    67    0.17475E+04    0.28303E+00    0.13990E-02   -0.42525E+01
    68    0.17704E+04    0.29522E+00    0.14411E-02   -0.46558E+01
    69    0.17934E+04    0.30761E+00    0.14838E-02   -0.50669E+01
    70    0.18168E+04    0.32026E+00    0.15272E-02   -0.54872E+01
    71    0.18403E+04    0.33315E+00    0.15711E-02   -0.59188E+01
    72    0.18640E+04    0.34626E+00    0.16157E-02   -0.63632E+01
    73    0.18878E+04    0.35955E+00    0.16609E-02   -0.68210E+01
    74    0.19118E+04    0.37301E+00    0.17067E-02   -0.72913E+01
    75    0.19362E+04    0.38665E+00    0.17532E-02   -0.77728E+01
    76    0.19608E+04    0.40047E+00    0.18003E-02   -0.82649E+01
    77    0.19857E+04    0.41447E+00    0.18480E-02   -0.87676E+01
    78    0.20110E+04    0.42866E+00    0.18963E-02   -0.92822E+01
    79    0.20365E+04    0.44299E+00    0.19453E-02   -0.98052E+01
    80    0.20623E+04    0.45747E+00    0.19950E-02   -0.10338E+02
    81    0.20882E+04    0.47204E+00    0.20452E-02   -0.10881E+02
    82    0.21144E+04    0.48673E+00    0.20962E-02   -0.11434E+02
    83    0.21407E+04    0.50151E+00    0.21477E-02   -0.11995E+02
    84    0.21674E+04    0.51638E+00    0.21999E-02   -0.12563E+02
    85    0.21941E+04    0.53130E+00    0.22528E-02   -0.13140E+02
    86    0.22211E+04    0.54631E+00    0.23064E-02   -0.13723E+02
    87    0.22484E+04    0.56135E+00    0.23605E-02   -0.14311E+02
    88    0.22758E+04    0.57646E+00    0.24154E-02   -0.14906E+02
    89    0.23035E+04    0.59161E+00    0.24709E-02   -0.15509E+02
    90    0.23314E+04    0.60676E+00    0.25271E-02   -0.16117E+02
    91    0.23595E+04    0.62192E+00    0.25840E-02   -0.16730E+02
    92    0.23878E+04    0.63706E+00    0.26416E-02   -0.17348E+02
    93    0.24165E+04    0.65218E+00    0.26998E-02   -0.17970E+02
    94    0.24452E+04    0.66724E+00    0.27588E-02   -0.18597E+02
    95    0.24741E+04    0.68224E+00    0.28184E-02   -0.19227E+02
    96    0.25031E+04    0.69717E+00    0.28787E-02   -0.19861E+02
    97    0.25325E+04    0.71201E+00    0.29397E-02   -0.20498E+02
    98    0.25621E+04    0.72676E+00    0.30014E-02   -0.21136E+02
    99    0.25918E+04    0.74137E+00    0.30639E-02   -0.21777E+02
   100    0.26218E+04    0.75586E+00    0.31270E-02   -0.22417E+02
   101    0.26520E+04    0.77027E+00    0.31908E-02   -0.23060E+02
   102    0.26826E+04    0.78447E+00    0.32554E-02   -0.23702E+02
   103    0.27132E+04    0.79852E+00    0.33207E-02   -0.24346E+02
   104    0.27440E+04    0.81242E+00    0.33867E-02   -0.24987E+02
   105    0.27749E+04    0.82611E+00    0.34534E-02   -0.25627E+02
   106    0.28061E+04    0.83966E+00    0.35209E-02   -0.26267E+02
   107    0.28372E+04    0.85291E+00    0.35891E-02   -0.26903E+02
   108    0.28687E+04    0.86595E+00    0.36580E-02   -0.27537E+02
   109    0.29003E+04    0.87869E+00    0.37277E-02   -0.28168E+02
   110    0.29320E+04    0.89115E+00    0.37982E-02   -0.28794E+02
   111    0.29639E+04    0.90338E+00    0.38694E-02   -0.29417E+02
   112    0.29959E+04    0.91533E+00    0.39413E-02   -0.30035E+02
   113    0.30282E+04    0.92699E+00    0.40140E-02   -0.30648E+02
   114    0.30605E+04    0.93829E+00    0.40875E-02   -0.31254E+02
   115    0.30931E+04    0.94936E+00    0.41617E-02   -0.31854E+02
   116    0.31257E+04    0.96000E+00    0.42367E-02   -0.32447E+02
   117    0.31585E+04    0.97028E+00    0.43125E-02   -0.33031E+02
   118    0.31916E+04    0.98033E+00    0.43891E-02   -0.33609E+02
   119    0.32246E+04    0.99003E+00    0.44665E-02   -0.34177E+02
   120    0.32578E+04    0.99921E+00    0.45447E-02   -0.34735E+02
   121    0.32910E+04    0.10082E+01    0.46236E-02   -0.35284E+02
   122    0.33242E+04    0.10166E+01    0.47034E-02   -0.35822E+02
   123    0.33576E+04    0.10246E+01    0.47840E-02   -0.36351E+02
   124    0.33910E+04    0.10323E+01    0.48654E-02   -0.36865E+02
   125    0.34244E+04    0.10395E+01    0.49476E-02   -0.37369E+02
   126    0.34579E+04    0.10463E+01    0.50307E-02   -0.37861E+02
   127    0.34914E+04    0.10526E+01    0.51146E-02   -0.38341E+02
   128    0.35249E+04    0.10586E+01    0.51993E-02   -0.38807E+02
   129    0.35585E+04    0.10640E+01    0.52849E-02   -0.39259E+02
   130    0.35921E+04    0.10690E+01    0.53713E-02   -0.39695E+02
   131    0.36257E+04    0.10735E+01    0.54586E-02   -0.40119E+02
   132    0.36593E+04    0.10776E+01    0.55468E-02   -0.40526E+02
   133    0.36929E+04    0.10812E+01    0.56359E-02   -0.40919E+02
   134    0.37265E+04    0.10844E+01    0.57258E-02   -0.41294E+02
   135    0.37601E+04    0.10870E+01    0.58166E-02   -0.41653E+02
   136    0.37936E+04    0.10892E+01    0.59084E-02   -0.41993E+02
   137    0.38270E+04    0.10909E+01    0.60010E-02   -0.42315E+02
   138    0.38604E+04    0.10921E+01    0.60946E-02   -0.42620E+02
   139    0.38936E+04    0.10929E+01    0.61890E-02   -0.42905E+02
   140    0.39268E+04    0.10931E+01    0.62844E-02   -0.43172E+02
   141    0.39599E+04    0.10929E+01    0.63808E-02   -0.43418E+02
   142    0.39929E+04    0.10922E+01    0.64781E-02   -0.43644E+02
   143    0.40259E+04    0.10910E+01    0.65763E-02   -0.43851E+02
   144    0.40587E+04    0.10893E+01    0.66755E-02   -0.44037E+02
   145    0.40913E+04    0.10873E+01    0.67757E-02   -0.44202E+02
   146    0.41240E+04    0.10847E+01    0.68768E-02   -0.44346E+02
   147    0.41563E+04    0.10817E+01    0.69790E-02   -0.44467E+02
   148    0.41886E+04    0.10782E+01    0.70821E-02   -0.44567E+02
   149    0.42207E+04    0.10743E+01    0.71862E-02   -0.44644E+02
   150    0.42526E+04    0.10700E+01    0.72913E-02   -0.44697E+02
   151    0.42843E+04    0.10653E+01    0.73974E-02   -0.44727E+02
   152    0.43158E+04    0.10600E+01    0.75045E-02   -0.44735E+02
   153    0.43471E+04    0.10544E+01    0.76126E-02   -0.44717E+02
   154    0.43782E+04    0.10484E+01    0.77218E-02   -0.44675E+02
   155    0.44091E+04    0.10421E+01    0.78320E-02   -0.44610E+02
   156    0.44396E+04    0.10354E+01    0.79432E-02   -0.44520E+02
   157    0.44701E+04    0.10283E+01    0.80555E-02   -0.44405E+02
   158    0.45002E+04    0.10210E+01    0.81688E-02   -0.44265E+02
   159    0.45301E+04    0.10132E+01    0.82831E-02   -0.44100E+02
   160    0.45598E+04    0.10051E+01    0.83984E-02   -0.43909E+02
   161    0.45892E+04    0.99679E+00    0.85149E-02   -0.43693E+02
   162    0.46183E+04    0.98813E+00    0.86323E-02   -0.43452E+02
   163    0.46473E+04    0.97917E+00    0.87508E-02   -0.43184E+02
   164    0.46759E+04    0.96999E+00    0.88704E-02   -0.42892E+02
   165    0.47043E+04    0.96053E+00    0.89910E-02   -0.42572E+02
   166    0.47323E+04    0.95092E+00    0.91126E-02   -0.42226E+02
   167    0.47602E+04    0.94095E+00    0.92353E-02   -0.41856E+02
   168    0.47876E+04    0.93098E+00    0.93591E-02   -0.41458E+02
