#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10865E+04    0.51573E-01    0.00000E+00    0.34837E+01    0.53141E-07    0.31750E-02   -0.16169E-04
     3    0.10257E+04    0.86070E-01    0.00000E+00    0.43473E+01    0.64669E-07    0.31922E-02   -0.19955E-04
     4    0.96484E+03    0.99262E-01    0.00000E+00    0.44834E+01    0.74517E-07    0.31308E-02   -0.20374E-04
     5    0.91689E+03    0.90701E-01    0.00000E+00    0.41821E+01    0.83068E-07    0.30380E-02   -0.18319E-04
     6    0.88171E+03    0.69312E-01    0.00000E+00    0.36701E+01    0.90538E-07    0.29333E-02   -0.14613E-04
     7    0.85724E+03    0.45692E-01    0.00000E+00    0.30913E+01    0.97121E-07    0.28267E-02   -0.10073E-04
     8    0.84089E+03    0.27044E-01    0.00000E+00    0.25351E+01    0.10295E-06    0.27195E-02   -0.54697E-05
     9    0.83086E+03    0.15747E-01    0.00000E+00    0.20477E+01    0.10815E-06    0.26115E-02   -0.14491E-05
    10    0.82578E+03    0.10597E-01    0.00000E+00    0.16556E+01    0.11278E-06    0.25054E-02    0.15913E-05
    11    0.82427E+03    0.89295E-02    0.00000E+00    0.13703E+01    0.11695E-06    0.24066E-02    0.35289E-05
    12    0.82652E+03    0.84285E-02    0.00000E+00    0.11945E+01    0.12068E-06    0.23169E-02    0.43830E-05
    13    0.83074E+03    0.78064E-02    0.00000E+00    0.11092E+01    0.12401E-06    0.22351E-02    0.42449E-05
    14    0.83599E+03    0.69157E-02    0.00000E+00    0.10897E+01    0.12702E-06    0.21597E-02    0.32691E-05
    15    0.84263E+03    0.60619E-02    0.00000E+00    0.11177E+01    0.12971E-06    0.20881E-02    0.18373E-05
    16    0.85109E+03    0.55606E-02    0.00000E+00    0.11773E+01    0.13213E-06    0.20184E-02    0.34420E-06
    17    0.86127E+03    0.55371E-02    0.00000E+00    0.12519E+01    0.13431E-06    0.19517E-02   -0.95790E-06
    18    0.87217E+03    0.58449E-02    0.00000E+00    0.13280E+01    0.13626E-06    0.18895E-02   -0.18997E-05
    19    0.88464E+03    0.62902E-02    0.00000E+00    0.13977E+01    0.13801E-06    0.18311E-02   -0.24967E-05
    20    0.89700E+03    0.67585E-02    0.00000E+00    0.14536E+01    0.13956E-06    0.17753E-02   -0.27882E-05
    21    0.90961E+03    0.72346E-02    0.00000E+00    0.14994E+01    0.14094E-06    0.17216E-02   -0.27329E-05
    22    0.92276E+03    0.78166E-02    0.00000E+00    0.15398E+01    0.14216E-06    0.16695E-02   -0.23130E-05
    23    0.93624E+03    0.85982E-02    0.00000E+00    0.15766E+01    0.14324E-06    0.16195E-02   -0.16847E-05
    24    0.95014E+03    0.96266E-02    0.00000E+00    0.16115E+01    0.14418E-06    0.15719E-02   -0.10386E-05
    25    0.96438E+03    0.10940E-01    0.00000E+00    0.16472E+01    0.14500E-06    0.15268E-02   -0.53588E-06
    26    0.97878E+03    0.12523E-01    0.00000E+00    0.16874E+01    0.14571E-06    0.14840E-02   -0.28478E-06
    27    0.99357E+03    0.14322E-01    0.00000E+00    0.17304E+01    0.14632E-06    0.14431E-02   -0.21487E-06
    28    0.10086E+04    0.16310E-01    0.00000E+00    0.17750E+01    0.14683E-06    0.14039E-02   -0.23124E-06
    29    0.10239E+04    0.18490E-01    0.00000E+00    0.18198E+01    0.14725E-06    0.13665E-02   -0.31630E-06
    30    0.10395E+04    0.20877E-01    0.00000E+00    0.18621E+01    0.14758E-06    0.13314E-02   -0.47431E-06
