#    L    TT             EE             TE             PP             TP          
     2    0.10865E+04    0.51573E-01    0.34837E+01    0.11024E+07    0.29596E+05
     3    0.10257E+04    0.86070E-01    0.43473E+01    0.16978E+07    0.35506E+05
     4    0.96484E+03    0.99262E-01    0.44834E+01    0.22259E+07    0.38363E+05
     5    0.91689E+03    0.90701E-01    0.41821E+01    0.26924E+07    0.39577E+05
     6    0.88171E+03    0.69312E-01    0.36701E+01    0.31046E+07    0.39862E+05
     7    0.85724E+03    0.45692E-01    0.30913E+01    0.34706E+07    0.39620E+05
     8    0.84089E+03    0.27044E-01    0.25351E+01    0.37967E+07    0.39029E+05
     9    0.83086E+03    0.15747E-01    0.20477E+01    0.40886E+07    0.38184E+05
    10    0.82578E+03    0.10597E-01    0.16556E+01    0.43503E+07    0.37189E+05
    11    0.82427E+03    0.89295E-02    0.13703E+01    0.45866E+07    0.36170E+05
    12    0.82652E+03    0.84285E-02    0.11945E+01    0.47993E+07    0.35187E+05
    13    0.83074E+03    0.78064E-02    0.11092E+01    0.49909E+07    0.34249E+05
    14    0.83599E+03    0.69157E-02    0.10897E+01    0.51642E+07    0.33349E+05
    15    0.84263E+03    0.60619E-02    0.11177E+01    0.53211E+07    0.32460E+05
    16    0.85109E+03    0.55606E-02    0.11773E+01    0.54630E+07    0.31560E+05
    17    0.86127E+03    0.55371E-02    0.12519E+01    0.55915E+07    0.30677E+05
    18    0.87217E+03    0.58449E-02    0.13280E+01    0.57081E+07    0.29837E+05
    19    0.88464E+03    0.62902E-02    0.13977E+01    0.58134E+07    0.29035E+05
    20    0.89700E+03    0.67585E-02    0.14536E+01    0.59082E+07    0.28256E+05
    21    0.90961E+03    0.72346E-02    0.14994E+01    0.59936E+07    0.27494E+05
    22    0.92276E+03    0.78166E-02    0.15398E+01    0.60707E+07    0.26746E+05
    23    0.93624E+03    0.85982E-02    0.15766E+01    0.61400E+07    0.26018E+05
    24    0.95014E+03    0.96266E-02    0.16115E+01    0.62020E+07    0.25320E+05
    25    0.96438E+03    0.10940E-01    0.16472E+01    0.62573E+07    0.24652E+05
    26    0.97878E+03    0.12523E-01    0.16874E+01    0.63066E+07    0.24014E+05
    27    0.99357E+03    0.14322E-01    0.17304E+01    0.63503E+07    0.23401E+05
    28    0.10086E+04    0.16310E-01    0.17750E+01    0.63888E+07    0.22808E+05
    29    0.10239E+04    0.18490E-01    0.18198E+01    0.64223E+07    0.22242E+05
    30    0.10395E+04    0.20877E-01    0.18621E+01    0.64508E+07    0.21705E+05
    31    0.10551E+04    0.23461E-01    0.18991E+01    0.64749E+07    0.21194E+05
    32    0.10710E+04    0.26218E-01    0.19279E+01    0.64952E+07    0.20701E+05
    33    0.10873E+04    0.29148E-01    0.19451E+01    0.65120E+07    0.20221E+05
