#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105049E-04   0.113338E+06   0.113338E+06   0.151118E+06   0.151118E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.693776E+00
   0.115998E-04   0.113338E+06   0.113338E+06   0.151118E+06   0.151118E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.766083E+00
   0.128088E-04   0.113338E+06   0.113338E+06   0.151118E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.845926E+00
   0.141437E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.934091E+00
   0.156178E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.103144E+01
   0.172456E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.113894E+01
   0.190429E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606849E+00   0.113003E+06   0.113003E+06   0.125765E+01
   0.210277E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151117E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606848E+00   0.113003E+06   0.113003E+06   0.138872E+01
   0.232192E-04   0.113338E+06   0.113338E+06   0.151117E+06   0.151116E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606848E+00   0.113003E+06   0.113003E+06   0.153346E+01
   0.256392E-04   0.113338E+06   0.113338E+06   0.151116E+06   0.151116E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606848E+00   0.113003E+06   0.113003E+06   0.169328E+01
   0.283114E-04   0.113338E+06   0.113338E+06   0.151116E+06   0.151116E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606848E+00   0.113003E+06   0.113003E+06   0.186976E+01
   0.312621E-04   0.113338E+06   0.113338E+06   0.151116E+06   0.151115E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606848E+00   0.113003E+06   0.113002E+06   0.206463E+01
   0.345203E-04   0.113338E+06   0.113338E+06   0.151115E+06   0.151114E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606847E+00   0.113002E+06   0.113002E+06   0.227981E+01
   0.381181E-04   0.113338E+06   0.113338E+06   0.151114E+06   0.151114E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122256E+06  -0.606847E+00   0.113002E+06   0.113002E+06   0.251742E+01
   0.420909E-04   0.113338E+06   0.113338E+06   0.151114E+06   0.151113E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606846E+00   0.113002E+06   0.113002E+06   0.277979E+01
   0.464778E-04   0.113338E+06   0.113338E+06   0.151113E+06   0.151112E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606846E+00   0.113002E+06   0.113002E+06   0.306951E+01
   0.513218E-04   0.113338E+06   0.113338E+06   0.151112E+06   0.151110E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606845E+00   0.113002E+06   0.113002E+06   0.338942E+01
   0.566707E-04   0.113338E+06   0.113338E+06   0.151110E+06   0.151108E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606844E+00   0.113002E+06   0.113002E+06   0.374267E+01
   0.625771E-04   0.113338E+06   0.113338E+06   0.151109E+06   0.151106E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606843E+00   0.113002E+06   0.113002E+06   0.413274E+01
   0.690991E-04   0.113338E+06   0.113337E+06   0.151106E+06   0.151104E+06   0.000000E+00   0.113338E+06   0.113338E+06   0.122255E+06  -0.606841E+00   0.113002E+06   0.113002E+06   0.456346E+01
   0.763008E-04   0.113338E+06   0.113337E+06   0.151104E+06   0.151101E+06   0.000000E+00   0.113337E+06   0.113337E+06   0.122254E+06  -0.606840E+00   0.113002E+06   0.113002E+06   0.503907E+01
   0.842531E-04   0.113337E+06   0.113337E+06   0.151101E+06   0.151097E+06   0.000000E+00   0.113337E+06   0.113337E+06   0.122254E+06  -0.606838E+00   0.113002E+06   0.113001E+06   0.556425E+01
   0.930342E-04   0.113337E+06   0.113337E+06   0.151097E+06   0.151092E+06   0.000000E+00   0.113337E+06   0.113337E+06   0.122253E+06  -0.606835E+00   0.113001E+06   0.113001E+06   0.614415E+01
   0.102730E-03   0.113337E+06   0.113336E+06   0.151093E+06   0.151087E+06   0.000000E+00   0.113337E+06   0.113337E+06   0.122253E+06  -0.606832E+00   0.113001E+06   0.113001E+06   0.678450E+01
   0.113437E-03   0.113336E+06   0.113336E+06   0.151087E+06   0.151080E+06   0.000000E+00   0.113336E+06   0.113336E+06   0.122252E+06  -0.606828E+00   0.113001E+06   0.113000E+06   0.749157E+01
   0.125260E-03   0.113336E+06   0.113335E+06   0.151080E+06   0.151072E+06   0.000000E+00   0.113336E+06   0.113336E+06   0.122251E+06  -0.606824E+00   0.113000E+06   0.113000E+06   0.827232E+01
