#           k/h    P           
    0.10000E-03    0.44235E+03
    0.10202E-03    0.45096E+03
    0.10408E-03    0.45974E+03
    0.10618E-03    0.46868E+03
    0.10833E-03    0.47780E+03
    0.11052E-03    0.48709E+03
    0.11275E-03    0.49657E+03
    0.11503E-03    0.50623E+03
    0.11735E-03    0.51608E+03
    0.11972E-03    0.52612E+03
    0.12214E-03    0.53635E+03
    0.12461E-03    0.54678E+03
    0.12712E-03    0.55742E+03
    0.12969E-03    0.56826E+03
    0.13231E-03    0.57932E+03
    0.13499E-03    0.59058E+03
    0.13771E-03    0.60207E+03
    0.14049E-03    0.61378E+03
    0.14333E-03    0.62571E+03
    0.14623E-03    0.63788E+03
    0.14918E-03    0.65029E+03
    0.15220E-03    0.66293E+03
    0.15527E-03    0.67582E+03
    0.15841E-03    0.68896E+03
    0.16161E-03    0.70235E+03
    0.16487E-03    0.71601E+03
    0.16820E-03    0.72993E+03
    0.17160E-03    0.74412E+03
    0.17507E-03    0.75858E+03
    0.17860E-03    0.77332E+03
    0.18221E-03    0.78835E+03
    0.18589E-03    0.80367E+03
    0.18965E-03    0.81929E+03
    0.19348E-03    0.83521E+03
    0.19739E-03    0.85144E+03
    0.20138E-03    0.86798E+03
    0.20544E-03    0.88484E+03
    0.20959E-03    0.90203E+03
    0.21383E-03    0.91955E+03
    0.21815E-03    0.93741E+03
    0.22255E-03    0.95561E+03
    0.22705E-03    0.97417E+03
    0.23164E-03    0.99308E+03
    0.23632E-03    0.10124E+04
    0.24109E-03    0.10320E+04
    0.24596E-03    0.10520E+04
    0.25093E-03    0.10725E+04
    0.25600E-03    0.10933E+04
    0.26117E-03    0.11145E+04
    0.26645E-03    0.11361E+04
    0.27183E-03    0.11581E+04
    0.27732E-03    0.11806E+04
    0.28292E-03    0.12035E+04
    0.28864E-03    0.12268E+04
    0.29447E-03    0.12506E+04
    0.30042E-03    0.12749E+04
    0.30649E-03    0.12996E+04
    0.31268E-03    0.13247E+04
    0.31899E-03    0.13504E+04
    0.32544E-03    0.13766E+04
    0.33201E-03    0.14032E+04
    0.33872E-03    0.14304E+04
    0.34556E-03    0.14581E+04
    0.35254E-03    0.14863E+04
    0.35966E-03    0.15150E+04
    0.36693E-03    0.15443E+04
    0.37434E-03    0.15742E+04
    0.38190E-03    0.16047E+04
    0.38962E-03    0.16357E+04
    0.39749E-03    0.16673E+04
    0.40552E-03    0.16995E+04
    0.41371E-03    0.17323E+04
    0.42207E-03    0.17658E+04
    0.43060E-03    0.17998E+04
    0.43929E-03    0.18346E+04
    0.44817E-03    0.18699E+04
    0.45722E-03    0.19060E+04
    0.46646E-03    0.19427E+04
    0.47588E-03    0.19802E+04
    0.48550E-03    0.20183E+04
    0.49530E-03    0.20572E+04
    0.50531E-03    0.20968E+04
    0.51552E-03    0.21371E+04
    0.52593E-03    0.21782E+04
    0.53656E-03    0.22201E+04
    0.54739E-03    0.22627E+04
    0.55845E-03    0.23062E+04
    0.56973E-03    0.23504E+04
    0.58124E-03    0.23955E+04
    0.59299E-03    0.24415E+04
    0.60496E-03    0.24883E+04
    0.61719E-03    0.25359E+04
    0.62965E-03    0.25845E+04
    0.64237E-03    0.26339E+04
    0.65535E-03    0.26843E+04
    0.66859E-03    0.27356E+04
    0.68210E-03    0.27878E+04
    0.69588E-03    0.28410E+04
    0.70993E-03    0.28952E+04
    0.72427E-03    0.29504E+04
    0.73891E-03    0.30066E+04
    0.75383E-03    0.30638E+04
    0.76906E-03    0.31221E+04
    0.78460E-03    0.31814E+04
    0.80045E-03    0.32418E+04
    0.81662E-03    0.33034E+04
    0.83311E-03    0.33660E+04
    0.84994E-03    0.34297E+04
    0.86711E-03    0.34946E+04
    0.88463E-03    0.35607E+04
    0.90250E-03    0.36280E+04
    0.92073E-03    0.36965E+04
    0.93933E-03    0.37662E+04
    0.95831E-03    0.38371E+04
    0.97767E-03    0.39093E+04
    0.99742E-03    0.39828E+04
    0.10176E-02    0.40576E+04
    0.10381E-02    0.41337E+04
    0.10591E-02    0.42111E+04
    0.10805E-02    0.42899E+04
    0.11023E-02    0.43701E+04
    0.11246E-02    0.44517E+04
    0.11473E-02    0.45347E+04
    0.11705E-02    0.46191E+04
    0.11941E-02    0.47050E+04
    0.12182E-02    0.47924E+04
    0.12429E-02    0.48813E+04
    0.12680E-02    0.49716E+04
    0.12936E-02    0.50636E+04
    0.13197E-02    0.51571E+04
    0.13464E-02    0.52521E+04
    0.13736E-02    0.53488E+04
    0.14013E-02    0.54470E+04
    0.14296E-02    0.55469E+04
    0.14585E-02    0.56485E+04
    0.14880E-02    0.57517E+04
    0.15180E-02    0.58567E+04
    0.15487E-02    0.59633E+04
    0.15800E-02    0.60717E+04
    0.16119E-02    0.61818E+04
    0.16445E-02    0.62937E+04
    0.16777E-02    0.64074E+04
    0.17116E-02    0.65229E+04
    0.17462E-02    0.66402E+04
    0.17814E-02    0.67594E+04
