#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105049E-04   0.199618E+08   0.199618E+08   0.266019E+08   0.266015E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473229E+00   0.105442E+08   0.105442E+08   0.603820E+01
   0.115998E-04   0.199618E+08   0.199618E+08   0.265989E+08   0.265984E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473229E+00   0.105442E+08   0.105442E+08   0.666732E+01
   0.128088E-04   0.199618E+08   0.199618E+08   0.265952E+08   0.265946E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473229E+00   0.105442E+08   0.105442E+08   0.736194E+01
   0.141437E-04   0.199618E+08   0.199618E+08   0.265906E+08   0.265899E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473228E+00   0.105441E+08   0.105441E+08   0.812886E+01
   0.156178E-04   0.199618E+08   0.199618E+08   0.265851E+08   0.265842E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473228E+00   0.105441E+08   0.105441E+08   0.897558E+01
   0.172456E-04   0.199618E+08   0.199618E+08   0.265784E+08   0.265773E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473228E+00   0.105441E+08   0.105441E+08   0.991039E+01
   0.190429E-04   0.199618E+08   0.199617E+08   0.265702E+08   0.265689E+08   0.000000E+00   0.199618E+08   0.199618E+08   0.199696E+08  -0.473227E+00   0.105441E+08   0.105441E+08   0.109424E+02
   0.210277E-04   0.199617E+08   0.199617E+08   0.265602E+08   0.265586E+08   0.000000E+00   0.199617E+08   0.199617E+08   0.199695E+08  -0.473227E+00   0.105441E+08   0.105441E+08   0.120817E+02
   0.232192E-04   0.199617E+08   0.199617E+08   0.265481E+08   0.265461E+08   0.000000E+00   0.199617E+08   0.199617E+08   0.199695E+08  -0.473226E+00   0.105441E+08   0.105441E+08   0.133392E+02
   0.256392E-04   0.199617E+08   0.199617E+08   0.265332E+08   0.265308E+08   0.000000E+00   0.199617E+08   0.199617E+08   0.199695E+08  -0.473225E+00   0.105441E+08   0.105441E+08   0.147273E+02
   0.283114E-04   0.199616E+08   0.199616E+08   0.265151E+08   0.265122E+08   0.000000E+00   0.199616E+08   0.199616E+08   0.199694E+08  -0.473224E+00   0.105441E+08   0.105441E+08   0.162594E+02
   0.312621E-04   0.199616E+08   0.199616E+08   0.264931E+08   0.264896E+08   0.000000E+00   0.199616E+08   0.199616E+08   0.199694E+08  -0.473223E+00   0.105440E+08   0.105440E+08   0.179501E+02
   0.345203E-04   0.199615E+08   0.199615E+08   0.264663E+08   0.264619E+08   0.000000E+00   0.199615E+08   0.199615E+08   0.199693E+08  -0.473221E+00   0.105440E+08   0.105440E+08   0.198156E+02
   0.381181E-04   0.199615E+08   0.199615E+08   0.264336E+08   0.264283E+08   0.000000E+00   0.199615E+08   0.199615E+08   0.199692E+08  -0.473219E+00   0.105440E+08   0.105440E+08   0.218738E+02
   0.420909E-04   0.199614E+08   0.199614E+08   0.263938E+08   0.263874E+08   0.000000E+00   0.199614E+08   0.199614E+08   0.199692E+08  -0.473217E+00   0.105439E+08   0.105439E+08   0.241440E+02
   0.464778E-04   0.199613E+08   0.199613E+08   0.263453E+08   0.263375E+08   0.000000E+00   0.199613E+08   0.199613E+08   0.199690E+08  -0.473214E+00   0.105439E+08   0.105439E+08   0.266476E+02
   0.513218E-04   0.199612E+08   0.199612E+08   0.262864E+08   0.262768E+08   0.000000E+00   0.199612E+08   0.199612E+08   0.199689E+08  -0.473210E+00   0.105438E+08   0.105438E+08   0.294077E+02
   0.566707E-04   0.199611E+08   0.199610E+08   0.262146E+08   0.262030E+08   0.000000E+00   0.199610E+08   0.199610E+08   0.199687E+08  -0.473206E+00   0.105438E+08   0.105437E+08   0.324494E+02
   0.625771E-04   0.199609E+08   0.199609E+08   0.261274E+08   0.261133E+08   0.000000E+00   0.199609E+08   0.199609E+08   0.199685E+08  -0.473201E+00   0.105437E+08   0.105437E+08   0.358003E+02
   0.690991E-04   0.199607E+08   0.199606E+08   0.260214E+08   0.260043E+08   0.000000E+00   0.199607E+08   0.199607E+08   0.199683E+08  -0.473195E+00   0.105435E+08   0.105435E+08   0.394896E+02
   0.763008E-04   0.199604E+08   0.199604E+08   0.258927E+08   0.258719E+08   0.000000E+00   0.199604E+08   0.199604E+08   0.199680E+08  -0.473187E+00   0.105434E+08   0.105434E+08   0.435490E+02
   0.842531E-04   0.199601E+08   0.199601E+08   0.257365E+08   0.257113E+08   0.000000E+00   0.199601E+08   0.199601E+08   0.199676E+08  -0.473177E+00   0.105432E+08   0.105432E+08   0.480121E+02
   0.930342E-04   0.199597E+08   0.199597E+08   0.255473E+08   0.255167E+08   0.000000E+00   0.199597E+08   0.199597E+08   0.199672E+08  -0.473166E+00   0.105430E+08   0.105430E+08   0.529145E+02
   0.102730E-03   0.199593E+08   0.199592E+08   0.253184E+08   0.252813E+08   0.000000E+00   0.199592E+08   0.199592E+08   0.199667E+08  -0.473152E+00   0.105428E+08   0.105428E+08   0.582931E+02
   0.113437E-03   0.199587E+08   0.199586E+08   0.250417E+08   0.249970E+08   0.000000E+00   0.199587E+08   0.199587E+08   0.199660E+08  -0.473135E+00   0.105425E+08   0.105425E+08   0.641856E+02
   0.125260E-03   0.199580E+08   0.199579E+08   0.247082E+08   0.246542E+08   0.000000E+00   0.199580E+08   0.199580E+08   0.199652E+08  -0.473114E+00   0.105421E+08   0.105421E+08   0.706301E+02
   0.138315E-03   0.199572E+08   0.199571E+08   0.243071E+08   0.242422E+08   0.000000E+00   0.199572E+08   0.199572E+08   0.199643E+08  -0.473089E+00   0.105417E+08   0.105416E+08   0.776632E+02
   0.152731E-03   0.199562E+08   0.199560E+08   0.238261E+08   0.237482E+08   0.000000E+00   0.199561E+08   0.199561E+08   0.199631E+08  -0.473059E+00   0.105411E+08   0.105411E+08   0.853186E+02
   0.168649E-03   0.199549E+08   0.199548E+08   0.232515E+08   0.231585E+08   0.000000E+00   0.199549E+08   0.199549E+08   0.199617E+08  -0.473022E+00   0.105405E+08   0.105404E+08   0.936247E+02
   0.186226E-03   0.199534E+08   0.199532E+08   0.225683E+08   0.224576E+08   0.000000E+00   0.199534E+08   0.199534E+08   0.199600E+08  -0.472978E+00   0.105397E+08   0.105396E+08   0.102602E+03
   0.205635E-03   0.199516E+08   0.199514E+08   0.217604E+08   0.216295E+08   0.000000E+00   0.199516E+08   0.199516E+08   0.199579E+08  -0.472924E+00   0.105387E+08   0.105386E+08   0.112256E+03
   0.227067E-03   0.199494E+08   0.199491E+08   0.208117E+08   0.206578E+08   0.000000E+00   0.199493E+08   0.199493E+08   0.199554E+08  -0.472858E+00   0.105375E+08   0.105374E+08   0.122578E+03
   0.250732E-03   0.199467E+08   0.199463E+08   0.197069E+08   0.195275E+08   0.000000E+00   0.199466E+08   0.199466E+08   0.199524E+08  -0.472780E+00   0.105360E+08   0.105359E+08   0.133533E+03
   0.276864E-03   0.199434E+08   0.199430E+08   0.184338E+08   0.182269E+08   0.000000E+00   0.199434E+08   0.199434E+08   0.199488E+08  -0.472685E+00   0.105343E+08   0.105342E+08   0.145052E+03
   0.305720E-03   0.199395E+08   0.199390E+08   0.169856E+08   0.167500E+08   0.000000E+00   0.199394E+08   0.199394E+08   0.199444E+08  -0.472572E+00   0.105322E+08   0.105320E+08   0.157027E+03
   0.337583E-03   0.199348E+08   0.199342E+08   0.153645E+08   0.151004E+08   0.000000E+00   0.199347E+08   0.199347E+08   0.199392E+08  -0.472436E+00   0.105296E+08   0.105295E+08   0.169297E+03
   0.372767E-03   0.199291E+08   0.199283E+08   0.135858E+08   0.132956E+08   0.000000E+00   0.199290E+08   0.199290E+08   0.199329E+08  -0.472275E+00   0.105266E+08   0.105264E+08   0.181643E+03
   0.411618E-03   0.199222E+08   0.199213E+08   0.116826E+08   0.113717E+08   0.000000E+00   0.199221E+08   0.199221E+08   0.199255E+08  -0.472083E+00   0.105229E+08   0.105226E+08   0.193774E+03
   0.454518E-03   0.199140E+08   0.199129E+08   0.970994E+07   0.938722E+07   0.000000E+00   0.199138E+08   0.199138E+08   0.199166E+08  -0.471857E+00   0.105184E+08   0.105181E+08   0.205331E+03
   0.501889E-03   0.199041E+08   0.199029E+08   0.774626E+07   0.742491E+07   0.000000E+00   0.199039E+08   0.199039E+08   0.199062E+08  -0.471591E+00   0.105131E+08   0.105128E+08   0.215886E+03
   0.554198E-03   0.198924E+08   0.198910E+08   0.589101E+07   0.558802E+07   0.000000E+00   0.198922E+08   0.198922E+08   0.198939E+08  -0.471280E+00   0.105068E+08   0.105065E+08   0.224960E+03
   0.611958E-03   0.198785E+08   0.198768E+08   0.425414E+07   0.398890E+07   0.000000E+00   0.198783E+08   0.198783E+08   0.198795E+08  -0.470918E+00   0.104994E+08   0.104989E+08   0.232057E+03
   0.675738E-03   0.198621E+08   0.198601E+08   0.293603E+07   0.272730E+07   0.000000E+00   0.198618E+08   0.198618E+08   0.198626E+08  -0.470498E+00   0.104905E+08   0.104900E+08   0.236709E+03
   0.746165E-03   0.198428E+08   0.198405E+08   0.199866E+07   0.185979E+07   0.000000E+00   0.198424E+08   0.198424E+08   0.198430E+08  -0.470014E+00   0.104802E+08   0.104796E+08   0.238534E+03
   0.823933E-03   0.198202E+08   0.198176E+08   0.143539E+07   0.136886E+07   0.000000E+00   0.198198E+08   0.198198E+08   0.198202E+08  -0.469457E+00   0.104680E+08   0.104674E+08   0.237299E+03
   0.909805E-03   0.197938E+08   0.197909E+08   0.115582E+07   0.114923E+07   0.000000E+00   0.197933E+08   0.197933E+08   0.197937E+08  -0.468816E+00   0.104539E+08   0.104533E+08   0.232959E+03
   0.100463E-02   0.197631E+08   0.197599E+08   0.100700E+07   0.103400E+07   0.000000E+00   0.197626E+08   0.197626E+08   0.197629E+08  -0.468078E+00   0.104375E+08   0.104369E+08   0.225650E+03
   0.110933E-02   0.197276E+08   0.197242E+08   0.841542E+06   0.870295E+06   0.000000E+00   0.197271E+08   0.197271E+08   0.197274E+08  -0.467228E+00   0.104186E+08   0.104179E+08   0.215651E+03
   0.122495E-02   0.196867E+08   0.196830E+08   0.605737E+06   0.613322E+06   0.000000E+00   0.196861E+08   0.196861E+08   0.196863E+08  -0.466251E+00   0.103969E+08   0.103961E+08   0.203315E+03
   0.135262E-02   0.196396E+08   0.196357E+08   0.372358E+06   0.356284E+06   0.000000E+00   0.196390E+08   0.196390E+08   0.196391E+08  -0.465129E+00   0.103719E+08   0.103711E+08   0.189040E+03
   0.149359E-02   0.195856E+08   0.195815E+08   0.249272E+06   0.224999E+06   0.000000E+00   0.195849E+08   0.195849E+08   0.195850E+08  -0.463844E+00   0.103433E+08   0.103425E+08   0.173333E+03
   0.164926E-02   0.195238E+08   0.195196E+08   0.226626E+06  -0.172576E+06   0.000000E+00   0.195231E+08   0.195231E+08   0.195231E+08  -0.462374E+00   0.103106E+08   0.103098E+08   0.156880E+03
   0.182115E-02   0.194533E+08   0.194491E+08   0.179604E+06  -0.141011E+06   0.000000E+00   0.194526E+08   0.194526E+08   0.194526E+08  -0.460702E+00   0.102733E+08   0.102725E+08   0.140519E+03
   0.201096E-02   0.193731E+08   0.193689E+08   0.836307E+05  -0.115161E+06   0.000000E+00   0.193724E+08   0.193724E+08   0.193724E+08  -0.458802E+00   0.102309E+08   0.102301E+08   0.125048E+03
   0.222054E-02   0.192822E+08   0.192780E+08   0.541459E+05  -0.939974E+05   0.000000E+00   0.192815E+08   0.192815E+08   0.192815E+08  -0.456647E+00   0.101828E+08   0.101821E+08   0.111082E+03
   0.245198E-02   0.191794E+08   0.191752E+08   0.638023E+05  -0.766752E+05   0.000000E+00   0.191787E+08   0.191787E+08   0.191787E+08  -0.454210E+00   0.101285E+08   0.101278E+08   0.990327E+02
   0.270753E-02   0.190634E+08   0.190591E+08   0.239131E+05  -0.625009E+05   0.000000E+00   0.190628E+08   0.190628E+08   0.190628E+08  -0.451464E+00   0.100672E+08   0.100665E+08   0.889839E+02
   0.298972E-02   0.189332E+08   0.189287E+08   0.219242E+05  -0.509069E+05   0.000000E+00   0.189325E+08   0.189325E+08   0.189325E+08  -0.448377E+00   0.999839E+07   0.999767E+07   0.805780E+02
   0.330131E-02   0.187872E+08   0.187825E+08   0.106540E+05  -0.414273E+05   0.000000E+00   0.187865E+08   0.187865E+08   0.187865E+08  -0.444918E+00   0.992127E+07   0.992054E+07   0.732320E+02
   0.364539E-02   0.186242E+08   0.186192E+08   0.373529E+04  -0.336803E+05   0.000000E+00   0.186234E+08   0.186234E+08   0.186234E+08  -0.441056E+00   0.983515E+07   0.983443E+07   0.663787E+02
