#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105049E-04   0.113215E+06   0.113215E+06   0.150953E+06   0.150953E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122132E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.694361E+00
   0.115998E-04   0.113215E+06   0.113215E+06   0.150953E+06   0.150953E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122132E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.766729E+00
   0.128088E-04   0.113215E+06   0.113215E+06   0.150953E+06   0.150953E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122132E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.846640E+00
   0.141437E-04   0.113215E+06   0.113215E+06   0.150953E+06   0.150952E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.934879E+00
   0.156178E-04   0.113215E+06   0.113215E+06   0.150952E+06   0.150952E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.103231E+01
   0.172456E-04   0.113215E+06   0.113215E+06   0.150952E+06   0.150952E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.113991E+01
   0.190429E-04   0.113215E+06   0.113215E+06   0.150952E+06   0.150952E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.125871E+01
   0.210277E-04   0.113215E+06   0.113215E+06   0.150952E+06   0.150952E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.138990E+01
   0.232192E-04   0.113215E+06   0.113215E+06   0.150952E+06   0.150951E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606852E+00   0.112880E+06   0.112880E+06   0.153475E+01
   0.256392E-04   0.113215E+06   0.113215E+06   0.150951E+06   0.150951E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606851E+00   0.112880E+06   0.112880E+06   0.169471E+01
   0.283114E-04   0.113215E+06   0.113215E+06   0.150951E+06   0.150951E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606851E+00   0.112880E+06   0.112880E+06   0.187134E+01
   0.312621E-04   0.113215E+06   0.113215E+06   0.150951E+06   0.150950E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606851E+00   0.112880E+06   0.112880E+06   0.206637E+01
   0.345203E-04   0.113215E+06   0.113215E+06   0.150950E+06   0.150950E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606851E+00   0.112880E+06   0.112880E+06   0.228174E+01
   0.381181E-04   0.113215E+06   0.113214E+06   0.150950E+06   0.150949E+06   0.000000E+00   0.113215E+06   0.113215E+06   0.122131E+06  -0.606850E+00   0.112880E+06   0.112880E+06   0.251955E+01
   0.420909E-04   0.113215E+06   0.113214E+06   0.150949E+06   0.150948E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122131E+06  -0.606850E+00   0.112880E+06   0.112880E+06   0.278214E+01
   0.464778E-04   0.113214E+06   0.113214E+06   0.150948E+06   0.150947E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122131E+06  -0.606849E+00   0.112880E+06   0.112880E+06   0.307210E+01
   0.513218E-04   0.113214E+06   0.113214E+06   0.150947E+06   0.150945E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122131E+06  -0.606848E+00   0.112880E+06   0.112880E+06   0.339228E+01
   0.566707E-04   0.113214E+06   0.113214E+06   0.150945E+06   0.150944E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122131E+06  -0.606847E+00   0.112880E+06   0.112880E+06   0.374583E+01
   0.625771E-04   0.113214E+06   0.113214E+06   0.150944E+06   0.150942E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122130E+06  -0.606846E+00   0.112880E+06   0.112879E+06   0.413623E+01
   0.690991E-04   0.113214E+06   0.113214E+06   0.150942E+06   0.150939E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122130E+06  -0.606845E+00   0.112879E+06   0.112879E+06   0.456731E+01
   0.763008E-04   0.113214E+06   0.113214E+06   0.150939E+06   0.150936E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122130E+06  -0.606843E+00   0.112879E+06   0.112879E+06   0.504332E+01
   0.842531E-04   0.113214E+06   0.113213E+06   0.150936E+06   0.150932E+06   0.000000E+00   0.113214E+06   0.113214E+06   0.122129E+06  -0.606841E+00   0.112879E+06   0.112879E+06   0.556894E+01
   0.930342E-04   0.113213E+06   0.113213E+06   0.150932E+06   0.150928E+06   0.000000E+00   0.113213E+06   0.113213E+06   0.122129E+06  -0.606838E+00   0.112879E+06   0.112879E+06   0.614934E+01
   0.102730E-03   0.113213E+06   0.113212E+06   0.150928E+06   0.150922E+06   0.000000E+00   0.113213E+06   0.113213E+06   0.122128E+06  -0.606835E+00   0.112878E+06   0.112878E+06   0.679022E+01
   0.113437E-03   0.113213E+06   0.113212E+06   0.150922E+06   0.150915E+06   0.000000E+00   0.113213E+06   0.113213E+06   0.122127E+06  -0.606832E+00   0.112878E+06   0.112878E+06   0.749789E+01
   0.125260E-03   0.113212E+06   0.113211E+06   0.150916E+06   0.150907E+06   0.000000E+00   0.113212E+06   0.113212E+06   0.122127E+06  -0.606827E+00   0.112878E+06   0.112877E+06   0.827930E+01
